us,Red,IR,Ratio,Ambient,Vel,Accel,Notes
469174286,61,217,0.2811,1726,0.0822,0.0114,
469236109,61,217,0.2811,1726,0.0822,0.0114,
469299286,61,217,0.2811,1726,0.0822,0.0114,
469360285,61,217,0.2811,1726,0.0822,0.0114,
469485286,61,217,0.2811,1726,0.0822,0.0114,
469612290,61,217,0.2811,1726,0.0822,0.0114,
469735349,61,217,0.2811,1726,0.0822,0.0114,
469796285,61,217,0.2811,1726,0.0822,0.0114,
469860186,61,217,0.2811,1726,0.0822,0.0114,
470237296,61,217,0.2811,1726,0.0822,0.0114,
470298286,61,217,0.2811,1726,0.0822,0.0114,
470360286,61,217,0.2811,1726,0.0822,0.0114,
470423285,61,217,0.2811,1726,0.0822,0.0114,
470487006,64,204,0.3137,1518,-0.067,0.0315,
470552286,64,204,0.3137,1518,-0.067,0.0315,
470676286,125,332,0.3765,1586,0.0598,0.0401,
470737286,125,332,0.3765,1586,0.0598,0.0401,
470802686,125,332,0.3765,1586,0.0598,0.0401,
471178285,125,332,0.3765,1586,0.0598,0.0401,
471240285,125,332,0.3765,1586,0.0598,0.0401,
471303286,125,332,0.3765,1586,0.0598,0.0401,
471489285,125,332,0.3765,1586,0.0598,0.0401,
471552285,125,332,0.3765,1586,0.0598,0.0401,
471677285,125,332,0.3765,1586,0.0598,0.0401,
471802287,63,203,0.3103,1502,0.1697,0.0374,
471866289,63,203,0.3103,1502,0.1697,0.0374,
471927285,50,203,0.2463,1575,0.0225,0.005,
472174285,93,219,0.4247,1658,0.0506,-0.0078,
472235292,93,219,0.4247,1658,0.0506,-0.0078,
472298286,93,219,0.4247,1658,0.0506,-0.0078,
472364458,93,219,0.4247,1658,0.0506,-0.0078,
472426347,112,234,0.4786,1658,-0.2266,-0.0356,
472674226,100,292,0.3425,1629,0.0425,-0.0067,
472736420,100,292,0.3425,1629,0.0425,-0.0067,
472797285,131,276,0.4746,1588,0.044,0.0078,
472922285,131,276,0.4746,1588,0.044,0.0078,
473051293,131,276,0.4746,1588,0.044,0.0078,
473246533,131,276,0.4746,1588,0.044,0.0078,
473308309,131,276,0.4746,1588,0.044,0.0078,
473559077,131,276,0.4746,1588,0.044,0.0078,
473622673,131,276,0.4746,1588,0.044,0.0078,
473684285,131,276,0.4746,1588,0.044,0.0078,
473746285,131,276,0.4746,1588,0.044,0.0078,
474057286,102,221,0.4615,1705,0.0683,0.0075,
474118286,149,280,0.5321,1521,0.0071,-0.0061,
474187639,125,271,0.4613,1587,-0.0076,-0.0016,
474497289,125,271,0.4613,1587,-0.0076,-0.0016,
474561286,125,271,0.4613,1587,-0.0076,-0.0016,
474623286,125,271,0.4613,1587,-0.0076,-0.0016,
474684285,125,271,0.4613,1587,-0.0076,-0.0016,
474747286,125,271,0.4613,1587,-0.0076,-0.0016,
474811289,125,271,0.4613,1587,-0.0076,-0.0016,
474996290,125,271,0.4613,1587,-0.0076,-0.0016,
475121312,125,271,0.4613,1587,-0.0076,-0.0016,
475184286,125,271,0.4613,1587,-0.0076,-0.0016,
475246290,125,271,0.4613,1587,-0.0076,-0.0016,
475308285,125,271,0.4613,1587,-0.0076,-0.0016,
475435618,125,271,0.4613,1587,-0.0076,-0.0016,
475497289,125,271,0.4613,1587,-0.0076,-0.0016,
475558285,126,264,0.4773,1593,0.0462,5.4268,
475620289,126,264,0.4773,1593,0.0462,5.4268,
475684289,126,264,0.4773,1593,0.0462,5.4268,
475871297,126,264,0.4773,1593,0.0462,5.4268,
476059797,126,264,0.4773,1593,0.0462,5.4268,
476122582,126,264,0.4773,1593,0.0462,5.4268,
476184314,126,264,0.4773,1593,0.0462,5.4268,
476246289,47,108,0.4352,1687,-0.2107,-0.0321,
476559285,156,317,0.4921,1534,0.1179,0.0068,
476623285,156,317,0.4921,1534,0.1179,0.0068,
476684305,156,317,0.4921,1534,0.1179,0.0068,
476746285,156,317,0.4921,1534,0.1179,0.0068,
476807290,156,317,0.4921,1534,0.1179,0.0068,
476868290,107,196,0.5459,1684,0.0342,0.0108,
476931285,107,196,0.5459,1684,0.0342,0.0108,
477056287,107,196,0.5459,1684,0.0342,0.0108,
477119285,189,292,0.6473,1602,0.0531,-0.002,
477180286,189,292,0.6473,1602,0.0531,-0.002,
477307293,189,292,0.6473,1602,0.0531,-0.002,
